Gene ID	V.polysp	T.phaffi	T.blatta	N.dairen	N.castel	K.nagani	K.africa	C.glabra	S.uvarum	S.kudria	S.mikata	S.cerevi	Z.rouxii	T.delbru	K.lactis	E.gossyp	E.cymbal	L.kluyve	L.thermo	L.waltii
YHR087W	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YHR113W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YHR137W	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
YJL103C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
YJL206C	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
YJR096W	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YKL005C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
YKL079W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
YKL162C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
YKR066C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YLL015W	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
YLR014C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YLR098C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
YLR446W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
YML051W	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1
YML054C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
YML068W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
YMR019W	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0
YMR176W	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
YMR182C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
YMR189W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YMR250W	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YNL024C	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
YNL040W	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
YNL045W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
YNL092W	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1
YNL141W	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
YNL239W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
YNL243W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YNL286W	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0
YOL075C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
YOL141W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
YOR005C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
YOR258W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
YOR339C	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0
YPL058C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
YPL248C	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1
YPR017C	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0
YPR022C	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
YPR065W	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
YPR106W	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
YBL002W	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL003C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL098W	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
YBR020W	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1
YBR149W	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
YBR208C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR212W	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR240C	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YCL066W	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0
YCL067C	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0
YCR027C	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YDL029W	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL189W	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YDL238C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
YDR506C	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
YDR524C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YER010C	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YER051W	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL021W	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR052W	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
YGR071C	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1
YGR088W	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YGR286C	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
YHL014C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YHL021C	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YHL028W	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YHR035W	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
YHR104W	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YHR182W	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YIR027C	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YJL100W	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
YJL172W	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJR025C	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
YJR078W	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
YJR096W	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YKL084W	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
YLR014C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YLR090W	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR165C	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR188W	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR214W	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
YLR224W	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YLR231C	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
YML051W	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1
YMR038C	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR058W	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR111C	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
YMR176W	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
YMR250W	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
YMR280C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YNL024C	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
YNL210W	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
YOL057W	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR022C	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR140W	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL054W	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YPL165C	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL248C	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1
YPL273W	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
YPR015C	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
YPR133W-A	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
